Sr.No,Main Code,Sub Code,Name of Establishment,Address,City,Date of Applicability of Act,Beat
2901,BOA02212, 000,SAMEEN ZAFAR MEDICAL CENTRE,F/4 SHAH RUKNE ALAM COLONY,MULTAN,01-JUL-12,F
2902,BOA02585, 000,SAMRAAT SHEEREN REWARI WALEY,KALRO MARKET CHOWK BY PASS BWP ROAD,MULTAN,01-JUL-16,F
2903,BOA00763, 000,SANWAL FILLING STATION,RAM KALI BAHAWALPUR BY-PASS MULTAN,MULTAN,01-FEB-03,F
2904,BOA01403,BO002,SARCO CONSTRUCTION COMPANY,AL NOOR PLAZA T CHOWK SHAH RUKN E ALAM COLONY MULTAN,MULTAN,01-JAN-09,F
2905,BOA02927, 000,SARWAR ENTERPRISES,"MOHALLAH GHARIB NAWAZ, NEAR KHAN BLOACH HOTEL, VEHARI ROAD",MULTAN,01-JUL-17,F
2906,BOA02148, 000,SCIENCE SCHOOL,GULSHAN MARKET NEW MULTAN,MULTAN,01-OCT-13,F
2907,BIA00013,BO043,SERVIS SHOES-SB049 (SERVICE INDUSTRIES LIMITED),SHOEBOX GULSHAN MARKET,MULTAN,01-JUN-22,F
2908,BOA01389, 000,SEYAL LUBRICANTS,16KM VEHARI ROAD MULTAN,MULTAN,01-JUL-08,F
2909,BOA02377, 000,SHADI KHEL FILLING STATION (PSO),ADDA BASIRA BHAWAL PUR ROAD,MULTAN,01-JAN-15,F
2910,BOA03327, 000,SHAH G RESTAURANT & B.B.Q,"SHAH SHAMS TABREZ INTERCHANGE, BWP ROAD",MULTAN,01-DEC-21,F
2911,BOA03889, 000,SHAH RUKAN-E-ALAM MART ,T CHOWK SHAH RUKAN-E-ALAM COLONY MULTAN,MULTAN,01-JAN-25,F
2912,BOA01273, 000,SHAH RUKEN ALAM CNG STATION (PSO),NEAR UNDER PASS SHAH RUKEN ALAM COLONY ,MULTAN,01-JUL-08,F
2913,BOA01408, 000,SHAH RUKN E ALAM CNG Staion,NEAR UNDERPASS .GENERAL BUS STAND ROAD MULTAN,MULTAN,01-JUL-08,F
2914,BOA00024, 000,SHAHAB INDUSTRIES,-TUGHLAK TOWN MAKHDOOM RASHEED ROAD GENERAL BUS STAND MULTAN,MULTAN,01-JUL-76,F
2915,BOA03932, 000,SHAHEER GOLDEN OIL MILLS,MOUZA SHEIKHPUR OLD DUNYAPUR ROAD MULTAN,MULTAN,01-JUL-25,F
2916,BOA00705, 000,SHAHID PACKAGES,MUNIRABAD MAIN BAHAWALPUR ROAD ,MULTAN,04-SEP-01,F
2917,BOA00556, 000,SHAHID SOAP FACTORY,VEHARI ROAD O\S NEW GRAIN MARKEET MULTAN ,MULTAN,01-JUL-95,F
2918,BOA00025, 000,SHAHSONS MECHANICAL ENGINEERING (PVT) LTD,14-KM VEHARI ROAD NEW MSM PISTON RINGS ,MULTAN,01-JUL-76,F
2919,BOA01359, 000,SHAKEEL TEXTILE INDUSTRIES ,BUDHLA SANT ROAD MULTAN ,MULTAN,01-MAR-10,F
2920,BOA02926, 000,SHALIMAR FLYING COACH,"GENERAL BUS STAND, VEHARI CHOWK",MULTAN,01-JUL-16,F
2921,BOA01502, 000,SHAN MEDICAL CENTRE,01-Y SERVICE ROAD MADNI CHOWK NEW MULTAN,MULTAN,01-JUL-10,F
2922,BOA02581, 000,SHANDAAR REWARI SWEET & BAKERS,CALRO MARKET CHOWK BY BWP ROAD,MULTAN,01-JUL-16,F
2923,BOA02731, 000,SHANGRILLA CUISINE,GULSHAN MARKET MULTAN,MULTAN,01-OCT-17,F
2924,BOA00560, 000,SHANI FOOD INDS,BHAWALPUR ROAD MULTAN ,MULTAN,01-MAR-96,F
2925,BOA02065, 000,SHARAFAT RICE FACTORY,OPPOSITE MULTAN RICE MILLS 15-KM BAHAWALPUR ROAD ,MULTAN,01-JAN-12,F
2926,BOA00663, 000,SHARIF OIL MILLS,STADIUM ROAD ,MULTAN,01-OCT-00,F
2927,BOA03822, 000,SHEHZORE PLASTIC PIPE INDUSTRY,"17-KASSI, BUDHLA SANT ROAD",MULTAN,01-JUL-23,F
2928,BOA00680, 000,SHELL PETROL PUMP,GENERAL BUS STAND ,MULTAN,01-JAN-01,F
2929,BOA02351, 000,SIGNALs AND BINARY ENGINEERING PVT LTD,HOUSE NO 8 KAINAT VILLAS K BLOCK SHAH RUKNE ALAM Colony ,MULTAN,01-JUL-15,F
2930,BOA03343, 000,SIKANDAR FOODS PRODUCT,"FAZAL MODEL ROAD, 2KM BAHAWALPUR BYPASS",MULTAN,01-JAN-22,F
2931,BOA01683, 000,SIMAMM INTERNATIONAL PVT LTD,16KM BAHAWALPUR ROAD MULTAN,MULTAN,01-JUL-11,F
2932,BOA02072, 000,SINDHU FLOUR MILL,18-KASSI BUDHLA ROAD,MULTAN,01-JAN-13,F
2933,BOA01440, 000,SIR SYED COLLEGE OF COMMERCE & TECHNOLOGY ,QASIM PUR COLONY BWP ROAD MULTAN ,MULTAN,01-SEP-10,F
2934,FEE00310,BO005,SISKO TECHNICAL SERVICES,"PLAT NO1, BLOCK-52-E, G-11/3 ISLAMABAD (C/O SBP MULTAN)",MULTAN,01-AUG-25,F
2935,BOA00604, 000,SOLEX AGRO INDUSTRIES,MULTAN STADIUM ROAD VEHARI ROAD ,MULTAN,01-NOV-97,F
2936,BTB00374,BO001,SOUTH CHEMICAL,ADDA MUHAMMAD PUR QASBA MARRAL ROAD OPPOSITE HUSSAIN TEXTILE MILLS BAHAWALPUR ROAD,MULTAN,01-JAN-11,F
2937,BOA03274, 000,SPL QASIMPUR S.S. (ASHFAQ ENTERPRISES),NEAR THE EDUCATOR COMPUS QASIMPUR CANAL QASIMPUR MULTAN,MULTAN,01-FEB-21,F
2938,BOA02618, 000,SPRING HOSPITAL(INSTITUTE OF PSYCHIATRY),OPP MADNI PARK NEAR CHOWK KHAMARAN WALA,MULTAN,01-DEC-16,F
2939,BOA02917, 000,STAK COLLEGE OF COMMERCE & SCIENCE,"66-G, NEAR HAMZA CHOWK, JINNAH PARK, SHAH RUKN-E-ALAM",MULTAN,01-JUL-15,F
2940,BOA02912, 000,STAK COLLEGE OF COMMERCE & SCIENCE (GIRLS CAMPUS),"82, S-BLOCK, GULISTAN CHOWK, MASOOM SHAH ROAD",MULTAN,01-JUL-17,F
2941,FAA00600,BO003,STRENGTHENING PARTICIPATORY ORGANIZATION (SPO),"339 / 340 - D - BLOCK, SHAH RUKN-E-ALAM COLONY, MULTAN.",MULTAN,15-JAN-94,F
2942,BOA02820, 000,STYLO FRANCHISE GULSHAN MARKET,"SHOP#14-Y,GROUND FLOOR, GULSHAN MARKET, NEW MULTAN",MULTAN,01-DEC-17,F
2943,BOA02218, 000,SUFFAH INTERNATIONAL SCHOOL,420-B SHAH RUKNE ALAM COLONY,MULTAN,01-JUL-14,F
2944,BOA03300, 000,SUN RAYS FILLING STATION,"QASIMPUR ROAD, NEAR BAHAWALPUR BY PASS CHOWK",MULTAN,01-AUG-21,F
2945,BOA03095, 000,SUPPER MRS PETROLIUM SERVICE,"HAFIZWALA DUNYAPUR ROAD, MULTAN",MULTAN,01-FEB-20,F
2946,BOA02911, 000,SUPREME SHOES,"17-KASSI, NEAR CRICKET STADIUM, VEHARI ROAD",MULTAN,01-JUL-15,F
2947,BOA03024, 000,SUZUKI UNIQUE MOTORS,"NEAR SULTAN GHEE MILL, VEHARI ROAD",MULTAN,01-JAN-19,F
2948,BOA03930, 000,SWEET CREME (GULSHAN MARKET),NOON CHOWK GULSHAN MARKET,MULTAN,01-JUL-25,F
2949,AAG00744,BO019,SWIFT PROPERTY MANAGEMENT SERVICES PVT LTD,"C-32/7 KDA SCHEME 1, TIPU SULTAN ROAD KARACHI (C/O TELENOR MICRO FINANCE MULTAN)",KARACHI,01-DEC-24,F
2950,BOA03606, 000,SWYFT DELIVERY SOLUTIONS PVT LTD,PLOT NO.37 COMMERCIAL BLIOCK-T NEW MULTAN,MULTAN,01-FEB-23,F
2951,BOA02977, 000,TAHA & CO,"PLOT NO. 5, BWP ROAD, OPPOSITE GRID STATION, ADJASCENT GREEN VIEW HOUSING COLONY",MULTAN,01-MAY-18,F
2952,BOA02459, 000,TAHIR FOOD,17 KASSI VEHARI ROAD,MULTAN,01-JAN-14,F
